[2026-02-06 16:07:30,574] INFO - initiate the data ingestion
[2026-02-06 16:07:37,323] INFO - performed train test split on the dataframe
[2026-02-06 16:07:37,323] INFO - exited split_data_as_train_test method of Data_Ingestion class
[2026-02-06 16:07:37,324] INFO - exporting training and test file path
[2026-02-06 16:07:37,391] INFO - exported train and test file path
[2026-02-06 16:07:37,392] INFO - Data initiation completed
[2026-02-06 16:07:37,397] INFO - inititate the data validation
[2026-02-06 16:07:37,429] INFO - required no of columns in data 2
[2026-02-06 16:07:37,430] INFO - no of columns in the data frame 31
[2026-02-06 16:07:37,430] INFO - required no of columns in data 2
[2026-02-06 16:07:37,430] INFO - no of columns in the data frame 31
[2026-02-06 16:07:37,609] INFO - data validation completed
[2026-02-06 16:07:37,610] INFO - data transformation started
[2026-02-06 16:07:37,611] INFO - entered initiate_data_transformation method of dataTransformation class
[2026-02-06 16:07:37,611] INFO - starting data transformation
[2026-02-06 16:07:37,650] INFO - entered get_data_transformation_object method of transformation class
[2026-02-06 16:07:37,650] INFO - initialise knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-06 16:07:37,672] INFO - entered the the save_object method of mainutils class
[2026-02-06 16:07:37,677] INFO - Exited the save_object method of mainutils class
[2026-02-06 16:07:37,680] INFO - data transformation completed
[2026-02-06 16:07:37,680] INFO - model traning started
