[2026-02-06 16:17:04,747] INFO - initiate the data ingestion
[2026-02-06 16:17:11,133] INFO - performed train test split on the dataframe
[2026-02-06 16:17:11,133] INFO - exited split_data_as_train_test method of Data_Ingestion class
[2026-02-06 16:17:11,133] INFO - exporting training and test file path
[2026-02-06 16:17:11,176] INFO - exported train and test file path
[2026-02-06 16:17:11,177] INFO - Data initiation completed
[2026-02-06 16:17:11,181] INFO - inititate the data validation
[2026-02-06 16:17:11,203] INFO - required no of columns in data 2
[2026-02-06 16:17:11,204] INFO - no of columns in the data frame 31
[2026-02-06 16:17:11,204] INFO - required no of columns in data 2
[2026-02-06 16:17:11,204] INFO - no of columns in the data frame 31
[2026-02-06 16:17:11,324] INFO - data validation completed
[2026-02-06 16:17:11,324] INFO - data transformation started
[2026-02-06 16:17:11,324] INFO - entered initiate_data_transformation method of dataTransformation class
[2026-02-06 16:17:11,324] INFO - starting data transformation
[2026-02-06 16:17:11,346] INFO - entered get_data_transformation_object method of transformation class
[2026-02-06 16:17:11,346] INFO - initialise knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-06 16:17:11,360] INFO - entered the the save_object method of mainutils class
[2026-02-06 16:17:11,362] INFO - Exited the save_object method of mainutils class
[2026-02-06 16:17:11,364] INFO - data transformation completed
[2026-02-06 16:17:11,364] INFO - model traning started
[2026-02-06 16:20:42,069] INFO - entered the the save_object method of mainutils class
[2026-02-06 16:20:42,098] INFO - Exited the save_object method of mainutils class
[2026-02-06 16:20:42,099] INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\2026-02-06_16-17-04\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9906316107585373, precision_score=0.9877460827641623, recall_score=0.9935340472822792), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9773941635840526, precision_score=0.9706122448979592, recall_score=0.984271523178808))
[2026-02-06 16:20:42,101] INFO - model training artifact created
