[2026-02-06 16:12:15,710] INFO - initiate the data ingestion
[2026-02-06 16:12:23,340] INFO - performed train test split on the dataframe
[2026-02-06 16:12:23,340] INFO - exited split_data_as_train_test method of Data_Ingestion class
[2026-02-06 16:12:23,340] INFO - exporting training and test file path
[2026-02-06 16:12:23,419] INFO - exported train and test file path
[2026-02-06 16:12:23,420] INFO - Data initiation completed
[2026-02-06 16:12:23,426] INFO - inititate the data validation
[2026-02-06 16:12:23,463] INFO - required no of columns in data 2
[2026-02-06 16:12:23,464] INFO - no of columns in the data frame 31
[2026-02-06 16:12:23,464] INFO - required no of columns in data 2
[2026-02-06 16:12:23,464] INFO - no of columns in the data frame 31
[2026-02-06 16:12:23,660] INFO - data validation completed
[2026-02-06 16:12:23,661] INFO - data transformation started
[2026-02-06 16:12:23,661] INFO - entered initiate_data_transformation method of dataTransformation class
[2026-02-06 16:12:23,661] INFO - starting data transformation
[2026-02-06 16:12:23,701] INFO - entered get_data_transformation_object method of transformation class
[2026-02-06 16:12:23,701] INFO - initialise knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-06 16:12:23,719] INFO - entered the the save_object method of mainutils class
[2026-02-06 16:12:23,724] INFO - Exited the save_object method of mainutils class
[2026-02-06 16:12:23,726] INFO - data transformation completed
[2026-02-06 16:12:23,726] INFO - model traning started
